Name,Object Val,logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
CR-4-6,1.0,7.492850999999999,1.9427445429693464,0.0,0.0,0.0,2.8612047199715818,0.0,0.0,0.0,0.0,0.0,0.0,8.795107454787997,37.97368028407075,3.4801329240068446,3.476689152703888,0.0142158299426605,0.0,0.7676548169036681
CR-10-1,0.64,8.632463999999997,1.9427445429693464,0.0,0.0,0.0,2.797064530224087,0.0,0.0,0.0,0.0,0.0,0.0,10.377333109247244,33.40947981310004,4.167099202089521,4.39260072719814,0.0236930499044342,0.0,1.2794246948394468
CR-11-1,0.7,7.676502999999998,2.49781441238916,0.0,0.6242630228202817,0.0,2.940085203290236,0.0,0.0,0.0,0.0,0.0,0.0,9.896379441822676,30.91332237989628,4.835322019740641,4.178161983726179,0.0213237449139907,0.0,1.1514822253555022
CR-33-1,0.44,10.431403999999992,1.9427445429693464,0.0,0.0,0.0,2.6094558247317616,0.0,0.0,0.0,0.0,0.0,0.0,11.051198914650955,31.75489075240321,3.936757723638437,4.0132311359893205,0.0355395748566512,0.0,1.9191370422591705
CR-34-1,0.42,9.987143999999994,1.387674673549533,0.0,1.387251161822848,0.0,3.277049543497504,0.0,0.0,0.0,0.0,0.0,0.0,10.947071466068232,31.09569343440067,3.3296241299272618,3.241509968640853,0.0355395748566512,0.0,1.9191370422591705
CR-21-1,2.15,4.751475000000005,1.9427445429693464,0.0,0.0,0.0,3.3348690841890143,0.0,0.0,0.0,0.0,0.0,0.0,9.589175420122023,35.48307317374673,4.862181794713345,5.044055511449638,0.0,0.0,0.0
CR-19-1,0.86,6.610874000000001,1.9427445429693464,0.0,0.346812790455712,0.0,3.132030795727582,0.0,0.0,0.0,0.0,0.0,0.0,9.767840945414784,34.032026244298166,4.513911992545233,4.739413517653851,0.0118465249522171,0.0,0.6397123474197234
CR-20-1,1.0,6.266839,1.9427445429693464,0.0,0.693625580911424,0.0,3.331166255244302,0.0,0.0,0.0,0.0,0.0,0.0,10.166111864448226,32.067459868307736,4.860724783000944,4.938548977170572,0.0118465249522171,0.0,0.6397123474197234
CR-25-1,2.4,4.862425000000004,2.0815120103243,0.0,0.346812790455712,0.0,3.3091569929711544,0.0,0.0,0.0,0.0,0.0,0.0,8.328777830023181,37.820696617096665,4.138788644860885,3.758942894881845,0.0,0.0,0.0
CR-29-1,1.3,6.388223999999999,1.9427445429693464,0.0,0.693625580911424,0.0,3.279388355738752,0.0,0.0,0.0,0.0,0.0,0.0,9.832214586986042,32.99998361479945,4.630383304549861,4.706856716900745,0.0118465249522171,0.0,0.6397123474197234
CR-30-1,1.8,6.165573999999999,1.9427445429693464,0.0,1.040438371367136,0.0,3.4267459157499216,0.0,0.0,0.0,0.0,0.0,0.0,9.896588228557295,31.96794098530074,4.746854616554489,4.674299916147638,0.0118465249522171,0.0,0.6397123474197234
