Tag,ChemicalName,SMILES,MW (g/mol),logP,MR,carboxyl,carboxylate,hydroxyl,ether,ester,epoxy,amide,cyano,amine,ammonium,phenyl,methyl,methylene,methyne,quat_carbon,vinyl,asetylene,siloxane
MMA,methyl methacrylate,CC(=C)C(=O)OC,100.117,0.7355,26.829999999999988,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,19.976627346005177,0.0,0.0,0.0,9.988313673002589,0.0,0.0
EMA,ethyl methacrylate,CCOC(=O)C(=C)C,114.144,1.1256000000000002,31.446999999999985,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,17.521726941407348,8.760863470703674,0.0,0.0,8.760863470703674,0.0,0.0
BMA,butyl methacrylate,CCCCOC(=O)C(=C)C,142.19799999999998,1.9058,40.681,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,14.0648954275025,21.09734314125375,0.0,0.0,7.0324477137512496,0.0,0.0
2EHMA,2 ethylhexyl methacrylate,CCCCC(CC)COC(=O)C(=C)C,198.30599999999995,3.3221000000000016,59.07900000000004,0.0,0.0,0.0,0.0,5.042711768680727,0.0,0.0,0.0,0.0,0.0,0.0,15.12813530604218,25.21355884340364,5.042711768680727,0.0,5.042711768680727,0.0,0.0
2EHA,2 ethylhexyl acrylate,CCCCC(CC)COC(=O)C=C,184.279,2.9320000000000013,54.46200000000004,0.0,0.0,0.0,0.0,5.426554300815612,0.0,0.0,0.0,0.0,0.0,0.0,10.853108601631224,27.13277150407806,5.426554300815612,0.0,5.426554300815612,0.0,0.0
gma,CC(=C)C(=O)OCC1CO1,CC(=C)C(=O)OCC1CO1,142.154,0.5045000000000001,35.513,0.0,0.0,0.0,0.0,7.034624421402142,7.034624421402142,0.0,0.0,0.0,0.0,0.0,7.034624421402142,14.069248842804283,7.034624421402142,0.0,7.034624421402142,0.0,0.0
SMA,stearyl methacrylate,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,338.576,7.3672000000000075,105.31900000000009,0.0,0.0,0.0,0.0,2.9535466187798307,0.0,0.0,0.0,0.0,0.0,0.0,5.907093237559661,50.21029251925712,0.0,0.0,2.9535466187798307,0.0,0.0
IBXMA,isobornyl methacrylate,CC(=C)C(=O)OC1CC2CCC1(C2(C)C)C,222.32799999999995,3.320500000000002,63.923000000000044,0.0,0.0,0.0,0.0,4.497859019106906,0.0,0.0,0.0,0.0,0.0,0.0,17.991436076427625,13.493577057320719,8.995718038213813,8.995718038213813,4.497859019106906,0.0,0.0
VA,behenyl acrylate,CCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,380.65700000000015,8.537500000000005,119.17000000000012,0.0,0.0,0.0,0.0,2.6270369387663948,0.0,0.0,0.0,0.0,0.0,0.0,2.6270369387663948,55.1677757140943,0.0,0.0,2.6270369387663948,0.0,0.0
HEMA,hydroxyethyl methacrylate,CC(=C)C(=O)OCCO,130.143,0.09800000000000003,32.85879999999999,0.0,0.0,7.68385545131125,0.0,7.68385545131125,0.0,0.0,0.0,0.0,0.0,0.0,7.68385545131125,15.3677109026225,0.0,0.0,7.68385545131125,0.0,0.0
HPMA,HPMA,CC(COC(=O)C(=C)C)O,144.17,0.4865,37.453799999999994,0.0,0.0,6.9362558091142406,0.0,6.9362558091142406,0.0,0.0,0.0,0.0,0.0,0.0,13.872511618228481,6.9362558091142406,6.9362558091142406,0.0,6.9362558091142406,0.0,0.0
St,styrene,C=CC1=CC=CC=C1,104.15199999999997,2.3296,36.53300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.601351870343347,0.0,0.0,0.0,0.0,9.601351870343347,0.0,0.0
AA,acrylic acid,C=CC(=O)O,72.06299999999999,0.25699999999999995,17.8328,13.876746735495333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876746735495333,0.0,0.0
MAA,methacrylic acid,CC(=C)C(=O)O,86.08999999999999,0.6471,22.449799999999993,11.615750958299456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299456,0.0,0.0,0.0,11.615750958299456,0.0,0.0
