Tag,SMILES,MolVolume,delta_d,delta_p,delta_h,sp,MW
BA,*CC(*)C(=O)OCCCC,135.92000000000004,14.493819894055322,3.6050618010594455,7.176411559566368,16.5700986292493,128.171
PA,*CC(*)C(=O)OCCC,120.16000000000004,14.147802929427428,4.077896138482023,7.632539493587423,16.58448744361229,114.144
AN,*CC(*)C#N,59.304000000000016,13.152569809793604,18.54849588560636,6.492739981493729,23.64725067924678,53.06399999999999
MAN,*CC(*)(C)C#N,75.82400000000001,13.847858197932052,14.507280016881197,5.742045885175184,20.861338430352248,67.091
PP,*CC(*)C,57.728000000000016,13.338414634146336,0.0,0.0,13.338414634146336,42.081
PS,*CC(*)c1ccccc1,111.86400000000005,15.91217907459057,0.9833369091039116,0.0,15.942534126626295,104.15199999999996
aca,C(CCCC(=O)O)CCCN,169.85600000000005,15.895817633760357,2.472682743029389,10.408028319722456,19.160329634366594,159.22899999999996
SMA,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,384.6480000000001,15.65067282294461,1.2738919739606078,4.265964928461769,16.271595414803187,338.5760000000001
AA,*CC(*)C(=O)O,70.08000000000001,12.557077625570772,5.993150684931506,11.945462064187412,18.338269208238973,72.06299999999999
MAA,*CC(*)(C)C(=O)O,87.22400000000002,13.184444648261945,4.815188480234797,10.70735003478896,17.653978745618904,86.08999999999997
gma,CC(=C)C(=O)OCC1CO1,137.16800000000003,14.58066021229441,4.611385921167755,8.538342992728277,17.514674801485796,142.154
hema,CC(=C)C(=O)OCCO,127.29600000000003,15.94708396178984,5.499555562841608,14.563793200886574,22.28584013833328,130.143
