Tag,ChemicalName,SMILES,MW (g/mol),logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
BMA,CCCCOC(=O)C(=C)C,*CC(*)(C)C(=O)OCCCC,142.19799999999998,2.0252,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,14.0648954275025,28.129790855005,0.0,7.0324477137512496,0.0,0.0,0.0
2EHMA,CCCCC(CC)COC(=O)C(=C)C,*CC(*)(C)C(=O)OCC(CC)CCCC,198.30599999999995,3.4415000000000022,0.0,0.0,0.0,0.0,5.042711768680728,0.0,0.0,0.0,0.0,0.0,0.0,15.128135306042182,30.256270612084364,5.042711768680728,5.042711768680728,0.0,0.0,0.0
IBXMA,CC(=C)C(=O)OC1CC2CCC1(C2(C)C)C,*CC(*)(C)C(=O)OC1CC2CCC1(C)C2(C)C,222.32799999999992,3.4399000000000024,0.0,0.0,0.0,0.0,4.497859019106907,0.0,0.0,0.0,0.0,0.0,0.0,17.99143607642763,17.99143607642763,8.995718038213814,13.49357705732072,0.0,0.0,0.0
HPMA,CC(COC(=O)C(=C)C)O,*CC(*)(C)C(=O)OCC(C)O,144.17,0.6058999999999999,0.0,0.0,6.9362558091142406,0.0,6.9362558091142406,0.0,0.0,0.0,0.0,0.0,0.0,13.87251161822848,13.87251161822848,6.9362558091142406,6.9362558091142406,0.0,0.0,0.0
HEMA,CC(=C)C(=O)OCCO,*CC(*)(C)C(=O)OCCO,130.143,0.2173999999999999,0.0,0.0,7.68385545131125,0.0,7.68385545131125,0.0,0.0,0.0,0.0,0.0,0.0,7.68385545131125,23.05156635393375,0.0,7.68385545131125,0.0,0.0,0.0
AA,C=CC(=O)O,*CC(*)C(=O)O,72.06299999999999,0.3763999999999999,13.876746735495333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876746735495333,13.876746735495333,0.0,0.0,0.0,0.0
DM,CC(=C)C(=O)OCCN(C)C,*CC(*)(C)C(=O)OCCN(C)C,157.213,0.7867,0.0,0.0,0.0,0.0,6.360797135096971,0.0,0.0,0.0,6.360797135096971,0.0,0.0,19.08239140529092,19.08239140529092,0.0,6.360797135096971,0.0,0.0,0.0
SMA,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,338.5760000000001,7.486600000000008,0.0,0.0,0.0,0.0,2.9535466187798303,0.0,0.0,0.0,0.0,0.0,0.0,5.9070932375596605,53.16383913803694,0.0,2.9535466187798303,0.0,0.0,0.0
EMA,CCOC(=O)C(=C)C,*CC(*)(C)C(=O)OCC,114.14399999999998,1.245,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,17.521726941407348,17.521726941407348,0.0,8.760863470703674,0.0,0.0,0.0
GMA,*CC(*)(C)C(=O)OCC1CO1,*CC(*)(C)C(=O)OCC1CO1,142.15399999999997,0.6239,0.0,0.0,0.0,0.0,7.034624421402143,7.034624421402143,0.0,0.0,0.0,0.0,0.0,7.034624421402143,21.103873264206428,7.034624421402143,7.034624421402143,0.0,0.0,0.0
MMA,*CC(*)(C)C(=O)OC,*CC(*)(C)C(=O)OC,100.11699999999998,0.8549,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,19.976627346005177,9.988313673002589,0.0,9.988313673002589,0.0,0.0,0.0
