,1,2,3,4,5,6,7,8,9
PE,45.39520000000001,78.71280000000003,111.85680000000002,144.82000000000005,178.21280000000004,211.08800000000005,244.46640000000008,277.5656,310.6864000000001
PAN,63.62880000000001,114.84960000000004,166.34960000000007,216.49200000000005,268.70640000000003,319.2072,370.0968000000001,420.84400000000016,471.0256000000001
PVC,60.98640000000002,107.88080000000002,155.92160000000007,203.53760000000005,250.89600000000004,299.5464000000001,346.41200000000015,393.5824000000001,440.40880000000016
PMAN,80.1808,147.10400000000004,214.39280000000008,280.7328000000001,345.92320000000007,413.4384000000001,479.71760000000006,545.6864,611.5520000000001
PVAc,107.73440000000002,203.40000000000003,297.8464,392.8432000000001,488.5568000000001,583.7600000000001,679.2576000000001,774.1536000000002,869.4408000000003
PVC2,76.33760000000002,137.89200000000005,198.34080000000003,260.1376,321.1432000000001,381.6176000000001,440.86160000000007,502.11280000000016,564.9200000000002
PMMA,107.31360000000002,201.99840000000006,295.5968000000001,388.8912000000001,482.74800000000005,575.8688000000001,668.7800000000001,762.5120000000003,855.4048000000003
PS,116.24720000000005,219.55440000000007,322.65600000000006,425.86640000000006,529.1232000000001,632.4064000000001,735.6264000000003,837.7872000000001,942.3616000000002
PEMA,123.90560000000005,235.14800000000005,345.3808000000001,455.4920000000001,565.5416000000001,675.6824000000003,786.1360000000002,895.9712000000003,1005.9488000000001
PBMA,157.17280000000002,301.10320000000013,444.58560000000017,587.7780000000001,731.7440000000001,875.9160000000002,,,
