Tag,SMILES,MW,Density,MolVolume,delta_d,delta_p,delta_h,Parameter
MEK,CCC(=O)C,72.107,0.8805276954638702,81.89066666666669,17.095965352176883,9.402780943697286,4.941943711331299,18.51
EtOH,CCO,46.069,0.8496889140271492,54.21866666666668,16.599449144206172,9.221916191225652,19.20616171047787,24.55
Toluene,CC1=CC=CC=C1,92.141,0.9264002091264943,99.46133333333336,18.600193039841272,1.1059574239905623,0.0,2.38
hexane,CCCCCC,86.178,0.7730355220667383,111.48000000000002,17.222820236813774,0.0,0.0,1.8799
isobutanol,CC(C)CO,74.12299999999999,0.8537155625172761,86.82400000000001,16.124573850548234,5.758776375195797,15.177320415930868,16.56
butanol,CCCCO,74.12299999999999,0.84728784368713,87.4826666666667,16.460403584710107,5.715417911357676,15.120076602130924,17.51
cyclohexanol,C1CCC(CC1)O,100.161,0.9173148781321738,109.18933333333337,15.019782152102763,4.579201875641087,13.53396006443212,15.0
ethyleneglycol,C(CO)O,62.068000000000005,0.988637811663764,62.78133333333335,15.291169349700544,11.263009936922026,25.24147492199144,37.7
cyclohexane,C1CCCCC1,84.162,0.838155623423184,100.41333333333337,16.133315628734557,0.0,0.0,
octane,CCCCCCCC,114.232,0.7902484918921908,144.55200000000005,17.01809729370745,0.0,0.0,1.9824
dichloromethane,C(Cl)Cl,84.933,1.4206643918105177,59.78400000000001,19.57045363307908,13.010461984899006,3.6580741870089115,8.93
dichlorodifluoromethane,C(F)(F)(Cl)Cl,120.91300000000001,1.7123900071754972,70.61066666666669,17.985951131085006,11.015580166903991,3.365966873865377,2.13
chloroform,C(Cl)(Cl)Cl,119.37800000000001,1.5901800937766408,75.07200000000002,19.048380221653876,12.689523979151778,3.9980813812950076,4.806
chlorobenzene,C1=CC=C(C=C1)Cl,112.55899999999998,1.1448851307366816,98.3146666666667,19.12227405880438,5.705070926974675,2.017069396099644,5.621
bromobenzene,C1=CC=C(C=C1)Br,157.01,1.5257119535643022,102.90933333333335,19.240237361042727,1.0689020756134848,0.0,5.40
2propanol,CC(C)O,60.096000000000004,0.8483342744212308,70.84000000000002,15.951439864483339,7.058159232072274,16.80257031774874,19.92
isoamyl alcohol,CC(C)CCO,88.14999999999999,0.84785703293321,103.96800000000002,16.06263465681748,4.809172052939365,13.869638860387628,17.93
diethyleneglycol,C(COCCO)O,106.12099999999998,1.0111384251848459,104.95200000000004,15.245064410397127,7.740718046950946,20.241321746106966,31.69
diethylether,CCOCC,74.123,0.8462044873356064,87.59466666666668,16.89600584510472,4.56648806624452,5.8522355127621015,4.198
diisopropylether,CC(C)OC(C)C,102.17699999999999,0.8469391702217013,120.6426666666667,16.080546407020176,3.315576578767047,4.986664650921782,3.88
dioxane,C1COCCO1,88.106,1.0343669776469848,85.17866666666669,15.02723686682111,6.641163181891059,8.392864398596224,2.209
