,1,2,3,4,5,6,7,8,9
PE,45.34000000000001,90.81920000000002,136.23600000000002,181.79200000000006,227.28400000000005,272.68800000000005,318.1976000000001,363.27040000000005,408.9024000000001
PAN,63.658400000000015,127.25120000000004,191.08080000000007,254.88320000000007,318.54400000000004,382.0368000000001,445.45200000000017,509.72160000000014,573.2424000000002
PVC,60.896000000000015,121.65120000000002,183.03840000000002,243.63520000000003,304.5640000000001,365.3760000000001,426.3392000000001,486.8992000000002,547.9848000000002
PMAN,80.15040000000002,160.36960000000005,240.43440000000004,320.3904000000001,400.3080000000001,480.8976000000001,561.7528000000001,641.0624000000001,720.7272000000003
PVAc,107.70640000000003,215.95520000000005,323.8248000000001,431.7376000000001,539.2160000000001,646.5264000000002,754.3872000000002,863.6736000000001,971.9208000000002
PVC2,76.36960000000002,152.46720000000002,229.1880000000001,305.28960000000006,381.5640000000001,457.82400000000007,534.5368000000002,610.5216000000001,686.7216000000001
PMMA,107.35600000000002,215.07360000000003,322.11840000000007,429.85920000000004,537.9800000000001,643.3680000000002,752.1696000000002,860.0000000000002,966.0816000000002
PS,116.28000000000002,232.66880000000006,348.7944,465.3952000000001,581.6520000000002,698.0544000000002,814.3520000000001,931.5520000000002,1046.6352000000002
PEMA,124.18080000000002,248.07040000000006,372.4248000000001,496.1536000000001,621.4320000000001,746.2032000000002,868.9520000000002,992.6080000000002,1116.1944000000003
PBMA,157.1904,314.4528,471.89040000000006,627.5360000000002,786.9200000000002,943.1520000000004,1101.4976000000004,1257.4400000000003,1414.1448000000007
