,1,2,3,4,5,6,7,8,9
PE,45.30666666666667,78.72533333333335,111.74400000000003,144.74933333333334,177.4906666666667,210.9093333333334,244.32000000000008,277.40266666666673,310.5440000000001
PAN,63.73066666666668,114.52800000000002,165.10133333333337,217.71466666666672,269.3680000000001,317.92800000000005,370.82400000000007,422.43733333333347,470.56800000000004
PVC,61.02666666666668,109.14400000000002,154.6186666666667,204.01600000000005,250.1973333333334,298.5333333333334,344.3040000000001,392.94933333333347,442.1040000000001
PMAN,80.21600000000002,147.20000000000005,214.29600000000005,280.5013333333334,345.9013333333334,412.2533333333334,480.3200000000001,546.224,608.4933333333335
PVAc,107.93600000000002,202.8613333333334,297.44000000000005,393.67733333333337,488.4880000000001,582.2773333333334,679.2906666666669,775.3866666666669,868.7440000000001
PVC2,76.29333333333335,138.26400000000004,198.23200000000006,260.4826666666667,320.16800000000006,379.1146666666668,440.03733333333344,502.0720000000001,562.8906666666668
PMMA,107.32533333333338,202.03200000000004,295.4106666666667,389.33066666666673,482.42666666666673,577.2613333333335,669.5280000000001,762.4800000000001,855.8480000000003
PS,116.3146666666667,219.66133333333337,322.6906666666668,425.8053333333334,528.8960000000001,632.5200000000001,735.0480000000001,839.2880000000001,942.3493333333336
PEMA,124.25066666666669,235.20266666666672,344.94133333333343,455.50666666666683,564.7920000000003,674.4826666666668,786.4533333333335,895.5146666666669,1006.738666666667
PBMA,157.36533333333338,300.80000000000007,444.50133333333343,588.2040000000002,,,,,
