Tag,SMILES,MW,Density,MolVolume,delta_d,delta_p,delta_h,Parameter
MIBK,CC(C)CC(=O)C,100.161,0.8752883808724828,114.43200000000004,16.603747203579413,6.7288870246085,4.180625388066569,1.37
MEK,CCC(=O)C,72.107,0.8809006059421421,81.85600000000001,17.103205629397966,9.40676309616888,4.9429900767794335,0.37
iBuOH,CC(C)CO,74.12299999999999,0.8501904019086067,87.18400000000003,16.057992292163696,5.73499724720132,15.14595292109588,0.8
nBuOH,CCCCO,74.12299999999999,0.8500344036697244,87.20000000000003,16.513761467889903,5.733944954128439,15.144563320384565,0.839
EtOH,CCO,46.069,0.8522037786108917,54.05866666666668,16.64857932123125,9.249210734017362,19.234563404473064,-0.18
BuOAc,CCCCOC(=O)C,116.15999999999998,0.9347438896161024,124.26933333333336,16.415956739125765,3.943048432437071,7.505282361146021,1.82
iBuOAc,CC(C)COC(=O)C,116.15999999999998,0.9335019180078432,124.4346666666667,16.072691425754876,3.937809399309945,7.5002946602211615,1.67
Toluene,CC1=CC=CC=C1,92.141,0.9237254718494357,99.74933333333335,18.546489867935623,1.1027642624177938,0.0,2.73
hexane,CCCCCC,86.178,0.769794669016936,111.94933333333336,17.15061575474619,0.0,0.0,3.764
PMA,CC(COC)OC(=O)C,132.159,0.9934376691322384,133.03200000000004,15.785675626916827,4.754755126847214,8.67005674362626,0.26
MMA,CC(=C)C(=O)OC,100.117,0.9835964107938168,101.78666666666668,16.701598113701856,4.813990044537594,8.29284549178007,0.0
BMA,CCCCOC(=O)C(=C)C,142.19799999999998,0.9374044124110044,151.69333333333336,16.546541267469454,3.230201283290849,6.793065038584623,0.0
EMA,CCOC(=O)C(=C)C,114.144,0.9648581024727808,118.30133333333336,16.65239050560151,4.141965151139462,7.692264343518347,0.0
SMA,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,338.576,0.8827995716927868,383.52533333333344,16.400481150310796,1.2776209481164214,4.272204095105311,0.0
St,C=CC1=CC=CC=C1,104.15199999999996,0.9476174301242232,109.90933333333336,18.46976902173913,1.0008249223602483,0.0,0.0
HPMA,CC(COC(=O)C(=C)C)O,144.17,1.006473862536302,143.24266666666668,15.777421997170302,4.887310751876667,13.729214279956262,0.0
HEMA,CC(=C)C(=O)OCCO,130.143,1.0259328358208952,126.85333333333335,16.002732814799238,5.51874678048785,14.589181935819536,0.0
vitamine c,C(C(C1C(=C(C(=O)O1)O)O)O)O,176.124,1.2395416924722702,142.08800000000005,9.71229097460728,6.054632682282279,18.18738366278928,0.0
vitamine a,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,286.45900000000006,0.926268398679003,309.26133333333337,15.520853991877418,1.6167556241538976,8.0417799625553,0.0
vitamine e,CC1=CC(=CC2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)O,402.6630000000002,0.9223374136446099,436.56800000000015,16.24031078778105,0.251965329570651,0.0,0
6217-54-5,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,328.4960000000001,0.9288504169745593,353.65866666666676,15.579994269427392,1.1875857700833945,5.3175042706755065,0
eicosapentaenoic acid,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,302.458,0.9265952927528655,326.4186666666667,15.654741967371146,1.2866911206058476,5.534934766694889,0
