Name,Object Val,logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
1,0.0,1.245,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,17.521726941407348,17.521726941407348,0.0,8.760863470703674,0.0,0.0,0.0
sample1,1.0,2.03221981981982,0.0,0.0,0.0,0.0,6.83872471497971,0.0,0.0,0.0,0.0,0.0,0.0,20.46728626835521,15.690194366450337,6.887612591563635,6.789836838395786,0.0,0.0,0.0
sample1,1.0,3.299870000000002,0.0,0.0,0.0,0.0,5.241685363187781,0.0,0.0,0.0,0.0,0.0,0.0,15.021811318188217,30.04362263637643,4.538440591812655,5.241685363187781,0.0,0.0,0.0
sample2,2.0,0.7064599999999999,0.0,0.0,4.61031327078675,0.0,7.941817083372978,0.0,0.0,0.0,0.0,0.0,0.0,11.273320895959206,21.90043698028295,0.0,7.941817083372978,0.0,0.0,0.0
sample3,3.0,1.1207636363636362,1.2615224304995758,0.0,1.2611374198389529,0.0,7.475545784264132,0.0,0.0,0.0,0.0,0.0,0.0,14.951091568528264,17.491240856073524,2.5226598503385285,7.475545784264132,0.0,0.0,0.0
sample4,4.0,7.910200000000007,1.387674673549533,0.0,0.0,0.0,6.172077394360251,0.0,0.0,0.0,0.0,0.0,0.0,16.0546134862824,15.744950670521703,1.387674673549533,6.172077394360251,0.0,0.0,1.855229348780948
sample5,3.0,2.5175181818181835,1.2615224304995758,0.0,1.2611374198389529,0.0,4.762724769611643,0.0,0.0,0.0,0.0,0.0,0.0,15.24999738172299,17.790146669268246,8.247207692838229,10.487272612111344,0.0,0.0,0.0
sample6,9.0,3.305754545454547,0.0,0.0,1.2611374198389529,0.0,4.993058633941311,0.0,0.0,0.0,0.0,0.0,0.0,15.710665110382326,21.595969254021377,6.985685262338653,10.717606476441013,0.0,0.0,0.0
sample7,10.0,3.0585272727272743,0.0,0.0,1.2611374198389529,0.0,5.584046540483215,0.0,0.0,0.0,0.0,0.0,0.0,11.168093080966427,30.86644453577249,8.167661075422458,2.130784712691462,0.0,0.0,0.0
sample8,2.0,5.067980000000005,0.0,0.0,0.0,0.0,5.103631783854126,0.0,0.0,0.0,0.0,0.0,0.0,10.207263567708251,39.96780065074487,0.0,5.103631783854126,0.0,0.0,0.0
sample9,2.0,6.26786,0.0,0.0,0.0,0.0,3.880975495563045,0.0,0.0,0.0,0.0,0.0,0.0,18.751384650662448,14.66315736364452,0.0,3.880975495563045,0.0,0.0,5.494716829768176
sample10,3.0,2.3961818181818195,0.0,1.2794186321735406,1.2611374198389529,0.0,4.762724769611643,0.0,0.0,0.0,0.0,0.0,0.0,15.249997381722988,17.80804287094221,8.265103894512194,10.487272612111344,0.0,0.0,0.0
sample111,111.0,1.8811,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,21.09734314125375,14.0648954275025,7.0324477137512496,7.0324477137512496,0.0,0.0,0.0
sample112,111.0,0.3763999999999999,13.876746735495333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876746735495333,13.876746735495333,0.0,0.0,0.0,0.0
sample113,111.0,0.3763999999999999,13.876746735495333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876746735495333,13.876746735495333,0.0,0.0,0.0,0.0
