Name,Y value,logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
BMA,20,2.0252,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,14.0648954275025,28.129790855005,0.0,7.0324477137512496,0.0,0.0,0.0
IBXMA,180,3.4399000000000024,0.0,0.0,0.0,0.0,4.497859019106907,0.0,0.0,0.0,0.0,0.0,0.0,17.99143607642763,17.99143607642763,8.995718038213814,13.49357705732072,0.0,0.0,0.0
2EHMA,-10,3.4415000000000022,0.0,0.0,0.0,0.0,5.042711768680728,0.0,0.0,0.0,0.0,0.0,0.0,15.128135306042182,30.256270612084364,5.042711768680728,5.042711768680728,0.0,0.0,0.0
tBMA,107,2.0236,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,28.129790855005,7.0324477137512496,0.0,14.0648954275025,0.0,0.0,0.0
iBMA,48,1.8811,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,21.09734314125375,14.0648954275025,7.0324477137512496,7.0324477137512496,0.0,0.0,0.0
EMA,65,1.245,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,17.521726941407348,17.521726941407348,0.0,8.760863470703674,0.0,0.0,0.0
SMA,38,7.486600000000008,0.0,0.0,0.0,0.0,2.9535466187798303,0.0,0.0,0.0,0.0,0.0,0.0,5.9070932375596605,53.16383913803694,0.0,2.9535466187798303,0.0,0.0,0.0
DM,18,0.7867,0.0,0.0,0.0,0.0,6.360797135096971,0.0,0.0,0.0,6.360797135096971,0.0,0.0,19.08239140529092,19.08239140529092,0.0,6.360797135096971,0.0,0.0,0.0
GMA,46,0.6239,0.0,0.0,0.0,0.0,7.034624421402143,7.034624421402143,0.0,0.0,0.0,0.0,0.0,7.034624421402143,21.103873264206428,7.034624421402143,7.034624421402143,0.0,0.0,0.0
HPMA,26,0.6058999999999999,0.0,0.0,6.9362558091142406,0.0,6.9362558091142406,0.0,0.0,0.0,0.0,0.0,0.0,13.87251161822848,13.87251161822848,6.9362558091142406,6.9362558091142406,0.0,0.0,0.0
HEMA,55,0.2173999999999999,0.0,0.0,7.68385545131125,0.0,7.68385545131125,0.0,0.0,0.0,0.0,0.0,0.0,7.68385545131125,23.05156635393375,0.0,7.68385545131125,0.0,0.0,0.0
AA,106,0.3763999999999999,13.876746735495333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876746735495333,13.876746735495333,0.0,0.0,0.0,0.0
MMA,90,0.8549,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,19.976627346005177,9.988313673002589,0.0,9.988313673002589,0.0,0.0,0.0
nBA,-55,1.6351,0.0,0.0,0.0,0.0,7.802076912874208,0.0,0.0,0.0,0.0,0.0,0.0,7.802076912874208,31.20830765149683,7.802076912874208,0.0,0.0,0.0,0.0
2EHA,-70,3.051400000000002,0.0,0.0,0.0,0.0,5.426554300815613,0.0,0.0,0.0,0.0,0.0,0.0,10.853108601631224,32.559325804893675,10.853108601631224,0.0,0.0,0.0,0.0
LMA,-65,5.146000000000005,0.0,0.0,0.0,0.0,3.930601303387394,0.0,0.0,0.0,0.0,0.0,0.0,7.861202606774788,47.16721564064873,0.0,3.930601303387394,0.0,0.0,0.0
CHMA,66,2.5578000000000003,0.0,0.0,0.0,0.0,5.944031004065719,0.0,0.0,0.0,0.0,0.0,0.0,5.944031004065719,35.66418602439432,5.944031004065719,5.944031004065719,0.0,0.0,0.0
IDMA,-41,4.221700000000004,0.0,0.0,0.0,0.0,4.417741650468282,0.0,0.0,0.0,0.0,0.0,0.0,13.253224951404846,35.34193320374626,4.417741650468282,4.417741650468282,0.0,0.0,0.0
THFMA,60,1.4041,0.0,0.0,0.0,0.0,5.875164504606131,0.0,0.0,0.0,0.0,0.0,0.0,5.875164504606131,29.375822523030656,5.875164504606131,5.875164504606131,0.0,0.0,0.0
BnMA,54,2.425300000000001,0.0,0.0,0.0,0.0,5.674885792923417,0.0,0.0,0.0,0.0,0.0,5.674885792923417,5.674885792923417,11.349771585846836,0.0,5.674885792923417,0.0,0.0,0.0
St,107,2.2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.601351870343349,0.0,9.601351870343349,9.601351870343349,0.0,0.0,0.0,0.0
DE,20,1.5669,0.0,0.0,0.0,0.0,5.39761533354564,0.0,0.0,0.0,5.39761533354564,0.0,0.0,16.192846000636923,26.9880766677282,0.0,5.39761533354564,0.0,0.0,0.0
iBA,-26,1.491,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,15.60415382574842,15.60415382574842,15.60415382574842,0.0,0.0,0.0,0.0
tBA,14,1.6335,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,23.40623073862263,7.80207691287421,7.80207691287421,7.80207691287421,0.0,0.0,0.0
MA,8,0.4648,0.0,0.0,0.0,0.0,11.615750958299456,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299456,11.615750958299456,11.615750958299456,0.0,0.0,0.0,0.0
