Tag,ChemicalName,SMILES,MW (g/mol),logP,MR,carboxy,carboxylate,hydroxy,ether,ester,ketone,epoxy,amide,cyano,amine,ammonium,phenyl,methyl,methylene,methyne,quat_carbon,vinyl,asetylene,siloxane
MMA,methyl methacrylate,CC(=C)C(=O)OC,100.117,0.7355,26.829999999999988,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.976627346005177,0.0,0.0,0.0,9.988313673002589,0.0,0.0
HEMA,hema,CC(=C)C(=O)OCCO,130.143,0.098,32.85879999999999,0.0,0.0,7.68385545131125,0.0,7.68385545131125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68385545131125,15.3677109026225,0.0,0.0,7.68385545131125,0.0,0.0
SMA,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,338.5760000000001,7.486600000000008,103.67900000000007,0.0,0.0,0.0,0.0,2.9535466187798303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9070932375596605,53.16383913803694,0.0,2.9535466187798303,0.0,0.0,0.0
BMA,butyl methacrylate,*CC(*)(C)C(=O)OCCCC,142.19799999999998,2.0252,39.041000000000004,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.064895427502499,28.129790855004998,0.0,7.0324477137512496,0.0,0.0,0.0
2EHMA,2 ethylhexyl methacrylate,*CC(*)(C)C(=O)OCC(CC)CCCC,198.30599999999993,3.4415000000000022,57.43900000000005,0.0,0.0,0.0,0.0,5.042711768680728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.128135306042182,30.256270612084364,5.042711768680728,5.042711768680728,0.0,0.0,0.0
tBMA,tert butyl methacrylate,*CC(*)(C)C(=O)OC(C)(C)C,142.19799999999998,2.0236,39.019000000000005,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.129790855004998,7.0324477137512496,0.0,14.064895427502499,0.0,0.0,0.0
iBMA,isobutyl methacrylate,*CC(*)(C)C(=O)OCC(C)C,142.19799999999998,1.8811,38.971000000000004,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.09734314125375,14.064895427502499,7.0324477137512496,7.0324477137512496,0.0,0.0,0.0
AA,acrylic acid,*CC(*)C(=O)O,72.06299999999999,0.37639999999999996,16.192800000000002,13.876746735495333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.876746735495333,13.876746735495333,0.0,0.0,0.0,0.0
MAA,methacrylic acid,*CC(*)(C)C(=O)O,86.08999999999997,0.7665,20.8098,11.615750958299458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.615750958299458,11.615750958299458,0.0,11.615750958299458,0.0,0.0,0.0
St,styrene,*CC(*)c1ccccc1,104.15199999999997,2.2446,33.989999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.601351870343347,0.0,9.601351870343347,9.601351870343347,0.0,0.0,0.0,0.0
2EHA,2 ethylhexyl acrylate,*CC(*)C(=O)OCC(CC)CCCC,184.27899999999994,3.051400000000002,52.822000000000045,0.0,0.0,0.0,0.0,5.426554300815613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.853108601631225,32.559325804893675,10.853108601631225,0.0,0.0,0.0,0.0
IBXA,isobornyl acrylate,*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,208.30099999999996,3.049800000000001,57.66600000000005,0.0,0.0,0.0,0.0,4.8007450756357395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.40223522690722,19.202980302542958,14.40223522690722,9.601490151271479,0.0,0.0,0.0
IBXMA,isobornyl methacrylate,*CC(*)(C)C(=O)OC1CC2CCC1(C)C2(C)C,222.32799999999992,3.4399000000000024,62.28300000000005,0.0,0.0,0.0,0.0,4.497859019106907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99143607642763,17.99143607642763,8.995718038213814,13.49357705732072,0.0,0.0,0.0
