,Monomer ,Q,e,MW,Monomer
0,Acenaphthylene,0.72,-1.88,,Acenaphthylene
1,phenyl Acetylene,0.45,0.1,,phenyl Acetylene
2,trimethyl Aconitate,0.25,2.27,,trimethyl Aconitate
3,Acrolein,0.8,1.31,56.064,Acrolein
4,methyl Acrolein,1.83,0.71,,methyl Acrolein
5,Acrylamide,0.23,0.54,,Acrylamide
6,N-methylol Acrylamide,0.52,1.15,,N-methylol Acrylamide
7,N-octadecyl Acrylamide,0.66,1.64,,N-octadecyl Acrylamide
8,benzyl Acrylate,0.33,1.13,,benzyl Acrylate
9,butyl Acrylate,0.38,0.85,128.17,butyl Acrylate
10,2-chloroethyl Acrylate,0.49,1.03,,2-chloroethyl Acrylate
11,methyl α-chloro- Acrylate,2.43,0.35,,methyl α-chloro- Acrylate
12,methyl α-cyano- Acrylate,4.91,0.91,,methyl α-cyano- Acrylate
13,ethyl Acrylate,0.41,0.55,100.12,ethyl Acrylate
14,methyl Acrylate,0.45,0.64,86.09,methyl Acrylate
15,octadecyl Acrylate,0.33,1.26,324.549,octadecyl Acrylate
16,octyl Acrylate,0.63,2.01,184.279,octyl Acrylate
17,2-nitrobutyl Acrylate,0.69,1.09,,2-nitrobutyl Acrylate
18,methyl α-phenyl- Acrylate,5.19,0.96,,methyl α-phenyl- Acrylate
19,Acrylic Acid,0.83,0.88,72.06,Acrylic Acid
20,Acrylonitrile (reference),0.48,1.23,,Acrylonitrile (reference)
21,Acryloyl chloride,1.82,1.92,,Acryloyl chloride
22,Allyl acetate,0.24,-1.07,,Allyl acetate
23,Allyl chloride,0.026,-0.6,,Allyl chloride
24,"N,N-divinyl Aniline",0.26,-0.68,,"N,N-divinyl Aniline"
25,vinylmercapto- Benzothiazole,0.36,-0.44,,vinylmercapto- Benzothiazole
26,ethyl Butadiene-1-carboxylate,1.67,1.26,,ethyl Butadiene-1-carboxylate
27,"diethyl 1,4-dicarboxylate- Butadiene",1.94,1.39,,"diethyl 1,4-dicarboxylate- Butadiene"
28,2-chloro- Butadiene,10.52,1.2,,2-chloro- Butadiene
29,2-fluoro- Butadiene,1.88,0.63,,2-fluoro- Butadiene
30,N-vinyl Carbazole,0.26,-1.29,,N-vinyl Carbazole
31,N-methyl- Citraconimide,0.87,1.58,,N-methyl- Citraconimide
32,Crotonaldehyde,0.023,0.84,,Crotonaldehyde
33,Crotonic acid,0.017,0.89,,Crotonic acid
34,Diallylphthalate,0.031,-0.26,,Diallylphthalate
35,Ethylene,0.016,0.05,28.05,Ethylene
36,tetrachloro- Ethylene,0.001,1.24,,tetrachloro- Ethylene
37,trichloro- Ethylene,0.01,1.29,,trichloro- Ethylene
38,diphenyl- Ethylene,0.17,-1.71,,diphenyl- Ethylene
39,diethyl Fumarate,0.25,2.26,,diethyl Fumarate
40,diisopropyl Fumarate,0.11,2.58,,diisopropyl Fumarate
41,tetrachloro- Hexatriene,1.83,0.94,,tetrachloro- Hexatriene
42,N-vinyl lmidazole,0.11,-0.68,,N-vinyl lmidazole
43,Isoprene,1.99,-0.55,,Isoprene
44,Isopropenyl isocyanate,0.18,-1.05,,Isopropenyl isocyanate
45,Isopropenyl methyl ketone,1.03,0.64,,Isopropenyl methyl ketone
46,ltaconic acid,0.78,1.07,,ltaconic acid
47,diethyl Maleate,0.053,1.08,172.17,diethyl Maleate
48,Maleic anhydride,0.86,3.69,98.056,Maleic anhydride
49,N-(2-chlorophenyl)- Maleimide,2.29,2.87,,N-(2-chlorophenyl)- Maleimide
50,N-phenyl- Methacrylamide,0.4,0.19,,N-phenyl- Methacrylamide
51,benzyl Methacrylate,0.88,0.35,176.215,benzyl Methacrylate
52,2-bromoethyl Methacrylate,1.18,0.74,,2-bromoethyl Methacrylate
53,butyl Methacrylate,0.82,0.28,142.197,butyl Methacrylate
54,isobutyl Methacrylate,0.82,0.27,142.197,isobutyl Methacrylate
55,stearyl Methacrylate,,,,stearyl Methacrylate
56,2-chloroethyl Methacrylate,1.04,0.31,,2-chloroethyl Methacrylate
57,ferrocenylmethyl Methacrylate,0.22,0.65,,ferrocenylmethyl Methacrylate
58,glycidyl Methacrylate,0.96,0.25,142.154,glycidyl Methacrylate
59,2-hydroxyethyl Methacrylate,1.78,-0.39,130.143,2-hydroxyethyl Methacrylate
60,2-hydroxypropyl Methacrylate,4.38,1.86,144.17,2-hydroxypropyl Methacrylate
61,methyl Methacrylate,0.78,0.4,100.1169,methyl Methacrylate
62,isobornyl Methacrylate,0.54,0.41,222.327,isobornyl Methacrylate
63,"2,2,6,6-tetramethyl-4-piperidinyl- Methacrylate",0.52,-1.09,,"2,2,6,6-tetramethyl-4-piperidinyl- Methacrylate"
64,phenyl Methacrylate,1.25,0.79,,phenyl Methacrylate
65,Methacrylic acid,0.98,0.62,86.0899,Methacrylic acid
66,Methacrylonitrile,0.86,0.68,,Methacrylonitrile
67,Methacryloylacetone,5.47,-0.76,,Methacryloylacetone
68,Methylenebutyrolactone,2.48,0.83,,Methylenebutyrolactone
69,"6,6-dimethyl-4,8-dioxaspiro(2,5)- Oct-1-ene",0.25,0.61,,"6,6-dimethyl-4,8-dioxaspiro(2,5)- Oct-1-ene"
70,2-isopropenyl- Oxazoline,0.59,-0.64,,2-isopropenyl- Oxazoline
71,"2-isopropenyl-4,4-dimethyl- Oxazoline",0.87,0.34,,"2-isopropenyl-4,4-dimethyl- Oxazoline"
72,"3,3,3-trichloro- Propene",0.03,1.0,,"3,3,3-trichloro- Propene"
73,3-(2-vinyl)-6-methyl- Pyridazinone,0.57,0.24,,3-(2-vinyl)-6-methyl- Pyridazinone
74,"3-(2-vinyl)-6-methyl-4,5-dihydro- Pyridazinone",0.18,-0.32,,"3-(2-vinyl)-6-methyl-4,5-dihydro- Pyridazinone"
75,2-methyl-5-vinyl- Pyridine,1.32,-0.66,,2-methyl-5-vinyl- Pyridine
